COUNTRY,ADMIN1,ADMIN2,CITYID,YEAR,DEPOP,POP,GRDP,RTL_CMP,FDAC_CMP,EMP,HT_CMP,GRAD,ELMTRY,WLT_CMP,ENT_CMP,BED
한국,경상남도,통합창원시,KR16001,2010,1,1090181,46149709,6402,6402,320154,940,8926,75588,2190,758,17239
한국,경상남도,진주시,KR16002,2010,0,335037,4693784,2318,2318,77651,280,5385,23658,680,332,4619
한국,경상남도,통영시,KR16003,2010,1,140297,1834417,791,791,32180,85,1461,8905,231,99,1181
한국,경상남도,사천시,KR16004,2010,1,114148,3193627,672,672,30881,63,1069,7252,233,67,1864
한국,경상남도,김해시,KR16005,2010,0,503348,10918931,3166,3166,157356,393,6138,43595,1304,321,10389
한국,경상남도,밀양시,KR16006,2010,1,110479,2147519,521,521,20014,63,1208,5806,222,40,1831
한국,경상남도,거제시,KR16007,2010,0,228355,5583705,1111,1111,94336,166,2369,18915,338,158,1749
한국,경상남도,양산시,KR16008,2010,0,260239,8333898,1376,1376,81387,126,2887,19853,573,162,7155
한국,경상남도,의령군,KR16009,2010,1,30162,529695,83,83,4648,8,200,1149,48,9,540
한국,경상남도,함안군,KR16010,2010,1,67207,2430905,301,301,24036,27,526,3815,108,24,1435
한국,경상남도,창녕군,KR16011,2010,1,61714,3019846,253,253,12799,24,840,2830,93,21,1555
한국,경상남도,고성군,KR16012,2010,1,57231,1327382,215,215,12860,32,561,2627,90,23,553
한국,경상남도,남해군,KR16013,2010,1,49328,1098292,189,189,6794,23,551,2104,90,27,313
한국,경상남도,하동군,KR16014,2010,1,51509,1752867,163,163,7570,24,328,2405,75,13,386
한국,경상남도,산청군,KR16015,2010,1,35591,643322,115,115,5054,8,279,1405,59,19,192
한국,경상남도,함양군,KR16016,2010,1,41197,805570,189,189,7217,14,340,2089,73,15,229
한국,경상남도,거창군,KR16017,2010,1,63421,954321,340,340,10280,45,966,3772,114,28,1581
한국,경상남도,합천군,KR16018,2010,1,51092,712680,166,166,6304,16,371,2045,84,13,391
한국,제주특별자치도,제주시,KR17001,2010,0,417539,7908509,3478,3478,116202,444,5564,33881,1038,424,2824
한국,제주특별자치도,서귀포시,KR17002,2010,0,153716,3250373,989,989,30915,40,1832,10154,337,189,466
일본,Hokkaido,Sapporo-shi,JP01001,2010,0,1913545,,1705,10333,932871,4035,250223,92128,2041,,37500
일본,Hokkaido,Hakodate-shi,JP01002,2010,1,279127,,290,2243,132777,428,21988,12803,365,,6555
일본,Hokkaido,Otaru-shi,JP01003,2010,1,131928,,214,939,60016,139,10884,5574,140,,3127
일본,Hokkaido,Asahikawa-shi,JP01004,2010,1,347095,,393,2211,167809,511,30002,17352,312,,7405
일본,Hokkaido,Muroran-shi,JP01005,2010,1,94535,,135,778,42582,139,7137,4514,80,,2218
일본,Hokkaido,Kushiro-shi,JP01006,2010,1,181169,,315,1408,86869,274,12564,9147,190,,3597
일본,Hokkaido,Obihiro-shi,JP01007,2010,1,168057,,198,1444,84534,338,13294,8897,244,,3353
일본,Hokkaido,Kitami-shi,JP01008,2010,1,125689,,165,851,62050,172,9496,6399,102,,2103
일본,Hokkaido,Yubari-shi,JP01009,2010,1,10922,,14,68,5111,5,631,291,9,,0
일본,Hokkaido,Iwamizawa-shi,JP01010,2010,1,90145,,88,453,42720,128,7614,4367,67,,1755
일본,Hokkaido,Abashiri-shi,JP01011,2010,1,40998,,46,293,19945,73,3217,2112,38,,877
일본,Hokkaido,Rumoi-shi,JP01012,2010,1,24457,,47,228,12726,44,1795,1107,19,,570
일본,Hokkaido,Tomakomai-shi,JP01013,2010,1,173320,,536,1114,86141,255,11873,9576,247,,2863
일본,Hokkaido,Wakkanai-shi,JP01014,2010,1,39595,,54,365,20231,53,2334,2007,31,,517
일본,Hokkaido,Bibai-shi,JP01015,2010,1,26034,,33,154,11803,13,1455,1111,25,,668
일본,Hokkaido,Ashibetsu-shi,JP01016,2010,1,16628,,16,120,7397,10,808,642,14,,481
일본,Hokkaido,Ebetsu-shi,JP01017,2010,1,123722,,91,413,57441,109,14437,6526,188,,940
일본,Hokkaido,Akabira-shi,JP01018,2010,1,12637,,17,65,5338,5,489,496,5,,546
일본,Hokkaido,Mombetsu-shi,JP01019,2010,1,24750,,47,207,12992,32,1760,1179,28,,499
일본,Hokkaido,Shibetsu-shi,JP01020,2010,1,21787,,25,194,10853,27,1166,1083,33,,230
일본,Hokkaido,Nayoro-shi,JP01021,2010,1,30591,,44,224,15468,38,1912,1535,40,,788
일본,Hokkaido,Mikasa-shi,JP01022,2010,1,10221,,14,44,4147,3,436,316,4,,292
일본,Hokkaido,Nemuro-shi,JP01023,2010,1,29201,,48,291,15957,27,1510,1498,37,,415
일본,Hokkaido,Chitose-shi,JP01024,2010,0,93604,,160,619,47639,79,7257,5614,83,,973
일본,Hokkaido,Takikawa-shi,JP01025,2010,1,43170,,49,337,20854,53,3010,2144,50,,1206
일본,Hokkaido,Sunagawa-shi,JP01026,2010,1,19056,,27,138,9040,24,1257,957,17,,645
일본,Hokkaido,Utashinai-shi,JP01027,2010,1,4387,,5,13,1741,1,140,148,3,,60
일본,Hokkaido,Fukagawa-shi,JP01028,2010,1,23709,,28,176,11373,38,1609,987,29,,1186
일본,Hokkaido,Furano-shi,JP01029,2010,1,24259,,38,217,12852,32,1660,1361,40,,567
