CNTRY,admin1,admin2,stdnt10,stdnt20,pop10,pop20,rate
일본,Hokkaido,Shari-cho,600,524,13045,11418,-12.47%
일본,Hokkaido,Kiyosato-cho,233,208,4551,3883,-14.68%
일본,Hokkaido,Koshimizu-cho,260,230,5358,4623,-13.72%
일본,Hokkaido,Kunneppu-cho,296,240,5435,4677,-13.95%
일본,Hokkaido,Oketo-cho,146,112,3428,2775,-19.05%
일본,Hokkaido,Saroma-cho,272,223,5892,4875,-17.26%
일본,Hokkaido,Engaru-cho,1140,885,22265,19241,-13.58%
일본,Hokkaido,Yubetsu-cho,511,287,10041,8270,-17.64%
일본,Hokkaido,Takinoue-cho,124,87,3028,2421,-20.05%
일본,Hokkaido,Okoppe-cho,235,187,4301,3628,-15.65%
일본,Hokkaido,Nishiokoppe-mura,46,41,1135,1053,-7.22%
일본,Hokkaido,Omu-cho,220,186,4939,4199,-14.98%
일본,Hokkaido,Ozora-cho,429,352,7933,6775,-14.60%
일본,Hokkaido,Toyoura-cho,224,210,4528,3821,-15.61%
일본,Hokkaido,Sobetsu-cho,131,95,3232,2743,-15.13%
일본,Hokkaido,Shiraoi-cho,844,500,19376,16212,-16.33%
일본,Hokkaido,Atsuma-cho,200,243,4890,4432,-9.37%
일본,Hokkaido,Toyako-cho,437,265,10132,8442,-16.68%
일본,Hokkaido,Abira-cho,462,333,8726,7340,-15.88%
일본,Hokkaido,Mukawa-cho,439,291,9746,7651,-21.50%
일본,Hokkaido,Hidaka-cho,677,554,13615,11279,-17.16%
일본,Hokkaido,Biratori-cho,269,237,5596,4776,-14.65%
일본,Hokkaido,Niikappu-cho,303,261,5775,5309,-8.07%
일본,Hokkaido,Urakawa-cho,796,518,14389,12074,-16.09%
일본,Hokkaido,Samani-cho,245,150,5114,4043,-20.94%
일본,Hokkaido,Erimo-cho,295,244,5413,4374,-19.19%
일본,Hokkaido,Shinhidaka-cho,1290,1015,25419,21517,-15.35%
일본,Hokkaido,Otofuke-cho,3014,2512,45085,43576,-3.35%
일본,Hokkaido,Shihoro-cho,354,303,6416,5848,-8.85%
일본,Hokkaido,Kamishihoro-cho,224,220,5080,4778,-5.94%
일본,Hokkaido,Shikaoi-cho,344,299,5702,5266,-7.65%
일본,Hokkaido,Shintoku-cho,291,263,6653,5817,-12.57%
일본,Hokkaido,Shimizu-cho,493,435,9961,9094,-8.70%
일본,Hokkaido,Memuro-cho,1325,1087,18905,18048,-4.53%
일본,Hokkaido,Nakasatsunai-mura,216,233,4006,3884,-3.05%
일본,Hokkaido,Sarabetsu-mura,185,156,3391,3080,-9.17%
일본,Hokkaido,Taiki-cho,285,275,5977,5420,-9.32%
일본,Hokkaido,Hiroo-cho,434,253,7881,6387,-18.96%
일본,Hokkaido,Makubetsu-cho,1694,1382,26547,25766,-2.94%
일본,Hokkaido,Ikeda-cho,370,211,7527,6294,-16.38%
일본,Hokkaido,Toyokoro-cho,165,111,3394,3022,-10.96%
일본,Hokkaido,Hombetsu-cho,382,248,8275,6618,-20.02%
일본,Hokkaido,Ashoro-cho,350,303,7630,6563,-13.98%
일본,Hokkaido,Rikubetsu-cho,104,98,2650,2264,-14.57%
일본,Hokkaido,Urahoro-cho,252,193,5460,4387,-19.65%
일본,Hokkaido,Kushiro-cho,1165,835,20526,19105,-6.92%
일본,Hokkaido,Akkeshi-cho,535,386,10630,8892,-16.35%
일본,Hokkaido,Hamanaka-cho,375,254,6511,5507,-15.42%
일본,Hokkaido,Shibecha-cho,439,368,8285,7230,-12.73%
일본,Hokkaido,Teshikaga-cho,407,276,8278,6955,-15.98%
일본,Hokkaido,Tsurui-mura,152,115,2627,2558,-2.63%
일본,Hokkaido,Shiranuka-cho,428,153,9294,7289,-21.57%
일본,Hokkaido,Betsukai-cho,1032,875,15855,14380,-9.30%
일본,Hokkaido,Nakashibetsu-cho,1563,1199,23982,23010,-4.05%
일본,Hokkaido,Shibetsu-cho,333,255,5646,5023,-11.03%
일본,Hokkaido,Rausu-cho,333,231,5885,4722,-19.76%
일본,Aomori-ken,Aomori-shi,16329,12593,299520,275192,-8.12%
일본,Aomori-ken,Hirosaki-shi,9545,7337,183473,168466,-8.18%
일본,Aomori-ken,Hachinohe-shi,13710,10791,237615,223415,-5.98%
일본,Aomori-ken,Kuroishi-shi,2068,1362,36132,31946,-11.59%
일본,Aomori-ken,Goshogawara-shi,3268,2146,58421,51415,-11.99%
일본,Aomori-ken,Towada-shi,3821,2795,66110,60378,-8.67%
일본,Aomori-ken,Misawa-shi,2713,2067,41258,39152,-5.10%
일본,Aomori-ken,Mutsu-shi,3598,2524,61066,54103,-11.40%
일본,Aomori-ken,Tsugaru-shi,1833,1194,37243,30934,-16.94%
일본,Aomori-ken,Hirakawa-shi,1758,1380,33764,30567,-9.47%
일본,Aomori-ken,Hiranai-machi,526,407,12361,10126,-18.08%
일본,Aomori-ken,Imabetsu-machi,103,36,3217,2334,-27.45%
일본,Aomori-ken,Yomogita-mura,140,123,3271,2540,-22.35%
