CNTRY,admin1,admin2,CITYID,grad10,grad20,pop10,pop20,rate
일본,Aomori-ken,Owani-machi,JP02019,513,530,10978,8665,-21.07%
일본,Aomori-ken,Inakadate-mura,JP02020,383,468,8153,7326,-10.14%
일본,Aomori-ken,Itayanagi-machi,JP02021,641,755,15227,12700,-16.60%
일본,Aomori-ken,Tsuruta-machi,JP02022,441,560,14270,12074,-15.39%
일본,Aomori-ken,Nakadomari-machi,JP02023,247,302,12743,9657,-24.22%
일본,Aomori-ken,Noheji-machi,JP02024,816,944,14314,12374,-13.55%
일본,Aomori-ken,Shichinohe-machi,JP02025,890,"1,075",16759,14556,-13.15%
일본,Aomori-ken,Rokunohe-machi,JP02026,505,713,10241,10447,2.01%
일본,Aomori-ken,Yokohama-machi,JP02027,248,223,4881,4229,-13.36%
일본,Aomori-ken,Tohoku-machi,JP02028,733,881,19106,16428,-14.02%
일본,Aomori-ken,Rokkasho-mura,JP02029,"1,080","1,340",11095,10367,-6.56%
일본,Aomori-ken,Oirase-cho,JP02030,"1,197","1,691",24211,24273,0.26%
일본,Aomori-ken,Oma-machi,JP02031,325,251,6340,4718,-25.58%
일본,Aomori-ken,Higashidori-mura,JP02032,345,385,7252,5955,-17.88%
일본,Aomori-ken,Kazamaura-mura,JP02033,100,66,2463,1636,-33.58%
일본,Aomori-ken,Sai-mura,JP02034,71,77,2422,1788,-26.18%
일본,Aomori-ken,Sannohe-machi,JP02035,546,621,11299,9082,-19.62%
일본,Aomori-ken,Gonohe-machi,JP02036,906,"1,121",18712,16042,-14.27%
일본,Aomori-ken,Takko-machi,JP02037,203,236,6175,4968,-19.55%
일본,Aomori-ken,Nambu-cho,JP02038,956,"1,132",19853,16809,-15.33%
일본,Aomori-ken,Hashikami-cho,JP02039,506,597,14699,13496,-8.18%
일본,Aomori-ken,Shingo-mura,JP02040,80,96,2851,2197,-22.94%
일본,Iwate-ken,Morioka-shi,JP03001,"40,195","49,656",298348,289731,-2.89%
일본,Iwate-ken,Miyako-shi,JP03002,"3,557","3,960",59430,50369,-15.25%
일본,Iwate-ken,Ofunato-shi,JP03003,"2,516","2,986",40737,34728,-14.75%
일본,Iwate-ken,Hanamaki-shi,JP03004,"7,951","9,428",101438,93193,-8.13%
일본,Iwate-ken,Kitakami-shi,JP03005,"7,809","9,402",93138,93045,-0.10%
일본,Iwate-ken,Kuji-shi,JP03006,"2,081","2,383",36872,33043,-10.38%
일본,Iwate-ken,Tono-shi,JP03007,"1,462","1,750",29331,25366,-13.52%
일본,Iwate-ken,Ichinoseki-shi,JP03008,"8,277","9,652",127642,111932,-12.31%
일본,Iwate-ken,Rikuzentakata-shi,JP03009,"1,332","1,506",23300,18262,-21.62%
일본,Iwate-ken,Kamaishi-shi,JP03010,"2,555","2,796",39574,32078,-18.94%
일본,Iwate-ken,Ninohe-shi,JP03011,"1,630","1,932",29702,25513,-14.10%
일본,Iwate-ken,Hachimantai-shi,JP03012,"1,258","1,474",28680,24023,-16.24%
일본,Iwate-ken,Oshu-shi,JP03013,"8,005","9,561",124746,112937,-9.47%
일본,Iwate-ken,Takizawashi,JP03014,"4,281","5,446",53857,55579,3.20%
일본,Iwate-ken,Shizukuishi-cho,JP03015,950,"1,127",18033,15731,-12.77%
일본,Iwate-ken,Kuzumaki-machi,JP03016,248,257,7304,5634,-22.86%
일본,Iwate-ken,Iwate-machi,JP03017,611,701,14984,12285,-18.01%
일본,Iwate-ken,Shiwa-cho,JP03018,"2,491","3,158",33288,32147,-3.43%
일본,Iwate-ken,Yahaba-cho,JP03019,"2,449","3,365",27205,28056,3.13%
일본,Iwate-ken,Nishiwaga-machi,JP03020,284,311,6602,5134,-22.24%
일본,Iwate-ken,Kanegasaki-cho,JP03021,963,"1,169",16325,15535,-4.84%
일본,Iwate-ken,Hiraizumi-cho,JP03022,404,501,8345,7252,-13.10%
일본,Iwate-ken,Sumita-cho,JP03023,297,352,6190,5045,-18.50%
일본,Iwate-ken,Otsuchi-cho,JP03024,578,594,15276,11004,-27.97%
일본,Iwate-ken,Yamada-machi,JP03025,692,689,18617,14320,-23.08%
일본,Iwate-ken,Iwaizumi-cho,JP03026,500,561,10804,8726,-19.23%
일본,Iwate-ken,Tanohata-mura,JP03027,134,163,3843,3059,-20.40%
일본,Iwate-ken,Fudai-mura,JP03028,88,95,3088,2487,-19.46%
일본,Iwate-ken,Karumai-machi,JP03029,313,389,10209,8421,-17.51%
일본,Iwate-ken,Noda-mura,JP03030,143,203,4632,3936,-15.03%
일본,Iwate-ken,Kunohe-mura,JP03031,163,198,6507,5378,-17.35%
일본,Iwate-ken,Hirono-cho,JP03032,575,652,17913,15091,-15.75%
일본,Iwate-ken,Ichinohe-machi,JP03033,634,655,14187,11494,-18.98%
일본,Miyagi-ken,Sendai-shi,JP04001,"169,876","220,211",1045986,1096704,4.85%
일본,Miyagi-ken,Ishinomaki-shi,JP04002,"9,336","11,384",160826,140151,-12.86%
일본,Miyagi-ken,Shiogama-shi,JP04003,"5,433","5,892",56490,52203,-7.59%
일본,Miyagi-ken,Kesennuma-shi,JP04004,"3,829","4,487",73489,61147,-16.79%
일본,Miyagi-ken,Shiroishi-shi,JP04005,"2,909","3,366",37422,32758,-12.46%
일본,Miyagi-ken,Natori-shi,JP04006,"8,864","12,000",73134,78718,7.64%
일본,Miyagi-ken,Kakuda-shi,JP04007,"2,224","2,518",31336,27976,-10.72%
일본,Miyagi-ken,Tagajo-shi,JP04008,"6,746","7,912",63060,62827,-0.37%
일본,Miyagi-ken,Iwanuma-shi,JP04009,"4,936","5,797",44187,44068,-0.27%
일본,Miyagi-ken,Tome-shi,JP04010,"3,732","4,887",83969,76037,-9.45%
일본,Miyagi-ken,Kurihara-shi,JP04011,"4,161","4,870",74932,64637,-13.74%
일본,Miyagi-ken,Higashimatsushima-shi,JP04012,"2,560","3,027",42903,39098,-8.87%
일본,Miyagi-ken,Osaki-shi,JP04013,"10,263","12,692",135147,127330,-5.78%
일본,Miyagi-ken,Tomiya-shi,JP04014,"6,206","8,376",47042,51651,9.80%
일본,Miyagi-ken,Zao-machi,JP04015,639,785,12882,11418,-11.36%
일본,Miyagi-ken,Shichikashuku-machi,JP04016,76,99,1694,1262,-25.50%
일본,Miyagi-ken,Ogawara-machi,JP04017,"2,497","2,860",23530,23571,0.17%
일본,Miyagi-ken,Murata-machi,JP04018,606,745,11995,10666,-11.08%
일본,Miyagi-ken,Shibata-machi,JP04019,"3,463","4,220",39341,38271,-2.72%
일본,Miyagi-ken,Kawasaki-machi,JP04020,431,518,9978,8345,-16.37%
일본,Miyagi-ken,Marumori-machi,JP04021,684,746,15501,12262,-20.90%
일본,Miyagi-ken,Watari-cho,JP04022,"2,380","2,797",34845,33087,-5.05%
일본,Miyagi-ken,Yamamoto-cho,JP04023,"1,012",879,16704,12046,-27.89%
일본,Miyagi-ken,Matsushima-machi,JP04024,"1,247","1,530",15085,13323,-11.68%
일본,Miyagi-ken,Shichigahama-machi,JP04025,"1,258","1,428",20416,18132,-11.19%
일본,Miyagi-ken,Rifu-cho,JP04026,"3,876","4,983",33994,35182,3.49%
일본,Miyagi-ken,Taiwa-cho,JP04027,"1,996","3,092",24894,28786,15.63%
일본,Miyagi-ken,Osato-cho,JP04028,341,407,8927,7813,-12.48%
일본,Miyagi-ken,Ohira-mura,JP04029,227,358,5334,5849,9.66%
일본,Miyagi-ken,Shikama-cho,JP04030,269,352,7431,6698,-9.86%
일본,Miyagi-ken,Kami-machi,JP04031,"1,071","1,414",25527,21943,-14.04%
일본,Miyagi-ken,Wakuya-cho,JP04032,930,"1,110",17494,15388,-12.04%
일본,Miyagi-ken,Misato-machi,JP04033,"1,995","2,397",25190,23994,-4.75%
일본,Miyagi-ken,Onagawa-cho,JP04034,508,516,10051,6430,-36.03%
일본,Miyagi-ken,Minamisanriku-cho,JP04035,543,510,17429,12225,-29.86%
일본,Akita-ken,Akita-shi,JP05001,"37,247","45,226",323600,307672,-4.92%
일본,Akita-ken,Noshiro-shi,JP05002,"4,151","4,573",59084,49968,-15.43%
일본,Akita-ken,Yokote-shi,JP05003,"6,316","7,633",98367,85555,-13.02%
일본,Akita-ken,Odate-shi,JP05004,"5,213","6,114",78946,69237,-12.30%
일본,Akita-ken,Oga-shi,JP05005,"1,487","1,558",32294,25154,-22.11%
일본,Akita-ken,Yuzawa-shi,JP05006,"2,922","3,264",50849,42091,-17.22%
일본,Akita-ken,Kazuno-shi,JP05007,"1,837","2,068",34473,29088,-15.62%
일본,Akita-ken,Yurihonjo-shi,JP05008,"5,223","6,258",85229,74707,-12.35%
일본,Akita-ken,Katagami-shi,JP05009,"1,873","2,229",34442,31720,-7.90%
일본,Akita-ken,Daisen-shi,JP05010,"5,419","6,583",88301,77657,-12.05%
일본,Akita-ken,Kitaakita-shi,JP05011,"2,136","2,498",36387,30198,-17.01%
일본,Akita-ken,Nikaho-shi,JP05012,"1,633","1,814",27544,23435,-14.92%
일본,Akita-ken,Semboku-shi,JP05013,"1,404","1,690",29568,24610,-16.77%
일본,Akita-ken,Kosaka-machi,JP05014,324,345,6054,4780,-21.04%
일본,Akita-ken,Kamikoani-mura,JP05015,85,94,2727,2063,-24.35%
일본,Akita-ken,Fujisato-machi,JP05016,138,161,3848,2896,-24.74%
일본,Akita-ken,Mitane-cho,JP05017,788,883,18876,15254,-19.19%
일본,Akita-ken,Happou-cho,JP05018,291,378,8220,6577,-19.99%
일본,Akita-ken,Gojome-machi,JP05019,601,649,10516,8538,-18.81%
일본,Akita-ken,Hachirogata-machi,JP05020,403,466,6623,5583,-15.70%
일본,Akita-ken,Ikawa-machi,JP05021,247,304,5493,4566,-16.88%
일본,Akita-ken,Ogata-mura,JP05022,360,431,3218,3011,-6.43%
일본,Akita-ken,Misato-cho,JP05023,977,"1,121",21674,18613,-14.12%
