CNTRY,admin1,admin2,emp10,emp20,pop10,pop20,rate
일본,Hokkaido,Iwamizawa-shi,42720,35681,90145,79306,-12.02%
일본,Hokkaido,Abashiri-shi,19945,17301,40998,35759,-12.78%
일본,Hokkaido,Rumoi-shi,12726,10054,24457,20114,-17.76%
일본,Hokkaido,Tomakomai-shi,86141,78970,173320,170113,-1.85%
일본,Hokkaido,Wakkanai-shi,20231,17290,39595,33563,-15.23%
일본,Hokkaido,Bibai-shi,11803,9615,26034,20413,-21.59%
일본,Hokkaido,Ashibetsu-shi,7397,5621,16628,12555,-24.49%
일본,Hokkaido,Ebetsu-shi,57441,55906,123722,121056,-2.15%
일본,Hokkaido,Akabira-shi,5338,4260,12637,9698,-23.26%
일본,Hokkaido,Mombetsu-shi,12992,10069,24750,21215,-14.28%
일본,Hokkaido,Shibetsu-shi,10853,9035,21787,17858,-18.03%
일본,Hokkaido,Nayoro-shi,15468,13979,30591,27282,-10.82%
일본,Hokkaido,Mikasa-shi,4147,3405,10221,8040,-21.34%
일본,Hokkaido,Nemuro-shi,15957,13073,29201,24636,-15.63%
일본,Hokkaido,Chitose-shi,47639,49732,93604,97950,4.64%
일본,Hokkaido,Takikawa-shi,20854,18802,43170,39490,-8.52%
일본,Hokkaido,Sunagawa-shi,9040,7835,19056,16486,-13.49%
일본,Hokkaido,Utashinai-shi,1741,1220,4387,2989,-31.87%
일본,Hokkaido,Fukagawa-shi,11373,9590,23709,20039,-15.48%
일본,Hokkaido,Furano-shi,12852,11090,24259,21131,-12.89%
일본,Hokkaido,Noboribetsu-shi,23996,20994,51526,46391,-9.97%
일본,Hokkaido,Eniwa-shi,33228,33835,69384,70331,1.36%
일본,Hokkaido,Date-shi,17124,15377,36278,32826,-9.52%
일본,Hokkaido,Kitahiroshima-shi,28658,26374,60353,58171,-3.62%
일본,Hokkaido,Ishikari-shi,29397,24564,59449,56869,-4.34%
일본,Hokkaido,Hokuto-shi,23981,21921,48032,44302,-7.77%
일본,Hokkaido,Tobetsu-cho,9098,7924,18766,15916,-15.19%
일본,Hokkaido,Shinshinotsu-mura,1631,1515,3515,3044,-13.40%
일본,Hokkaido,Matsumae-cho,4126,2784,8748,6260,-28.44%
일본,Hokkaido,Fukushima-cho,2447,1750,5114,3794,-25.81%
일본,Hokkaido,Shiriuchi-cho,2675,2185,5074,4167,-17.88%
일본,Hokkaido,Kikonai-cho,2439,1693,5341,3832,-28.25%
일본,Hokkaido,Nanae-cho,13609,13055,28463,27686,-2.73%
일본,Hokkaido,Shikabe-cho,2286,1892,4767,3760,-21.12%
일본,Hokkaido,Mori-machi,9365,7545,17859,14338,-19.72%
일본,Hokkaido,Yakumo-cho,9674,8528,18896,15826,-16.25%
일본,Hokkaido,Oshamambe-cho,2990,2733,6386,5109,-20.00%
일본,Hokkaido,Esashi-cho,4329,3719,9004,7428,-17.50%
일본,Hokkaido,Kaminokuni-cho,2424,2082,5428,4306,-20.67%
일본,Hokkaido,Assabu-cho,2288,1962,4409,3592,-18.53%
일본,Hokkaido,Otobe-cho,2051,1607,4408,3403,-22.80%
일본,Hokkaido,Okushiri-cho,1531,1302,3033,2410,-20.54%
일본,Hokkaido,Imakane-cho,3190,2581,6186,5072,-18.01%
일본,Hokkaido,Setana-cho,4591,3803,9590,7398,-22.86%
일본,Hokkaido,Shimamaki-mura,814,675,1781,1356,-23.86%
