CNTRY,admin1,admin2,CITYID,hlth10,hlth20,pop10,pop20,rate
일본,Hokkaido,Eniwa-shi,JP01031,83,207,69384,70331,1.36%
일본,Hokkaido,Date-shi,JP01032,26,145,36278,32826,-9.52%
일본,Hokkaido,Kitahiroshima-shi,JP01033,59,210,60353,58171,-3.62%
일본,Hokkaido,Ishikari-shi,JP01034,52,222,59449,56869,-4.34%
일본,Hokkaido,Hokuto-shi,JP01035,43,151,48032,44302,-7.77%
일본,Hokkaido,Tobetsu-cho,JP01036,15,48,18766,15916,-15.19%
일본,Hokkaido,Shinshinotsu-mura,JP01037,0,13,3515,3044,-13.40%
일본,Hokkaido,Matsumae-cho,JP01038,5,22,8748,6260,-28.44%
일본,Hokkaido,Fukushima-cho,JP01039,8,14,5114,3794,-25.81%
일본,Hokkaido,Shiriuchi-cho,JP01040,5,6,5074,4167,-17.88%
일본,Hokkaido,Kikonai-cho,JP01041,2,8,5341,3832,-28.25%
일본,Hokkaido,Nanae-cho,JP01042,21,115,28463,27686,-2.73%
일본,Hokkaido,Shikabe-cho,JP01043,1,11,4767,3760,-21.12%
일본,Hokkaido,Mori-machi,JP01044,17,59,17859,14338,-19.72%
일본,Hokkaido,Yakumo-cho,JP01045,9,38,18896,15826,-16.25%
일본,Hokkaido,Oshamambe-cho,JP01046,7,17,6386,5109,-20.00%
일본,Hokkaido,Esashi-cho,JP01047,9,40,9004,7428,-17.50%
일본,Hokkaido,Kaminokuni-cho,JP01048,2,14,5428,4306,-20.67%
일본,Hokkaido,Assabu-cho,JP01049,1,10,4409,3592,-18.53%
일본,Hokkaido,Otobe-cho,JP01050,4,17,4408,3403,-22.80%
일본,Hokkaido,Okushiri-cho,JP01051,1,6,3033,2410,-20.54%
일본,Hokkaido,Imakane-cho,JP01052,3,11,6186,5072,-18.01%
일본,Hokkaido,Setana-cho,JP01053,5,30,9590,7398,-22.86%
일본,Hokkaido,Shimamaki-mura,JP01054,1,6,1781,1356,-23.86%
일본,Hokkaido,Suttsu-cho,JP01055,3,13,3443,2838,-17.57%
일본,Hokkaido,Kuromatsunai-cho,JP01056,2,19,3250,2791,-14.12%
일본,Hokkaido,Rankoshi-cho,JP01057,7,11,5292,4568,-13.68%
일본,Hokkaido,Niseko-cho,JP01058,4,13,4823,5074,5.20%
일본,Hokkaido,Makkari-mura,JP01059,0,12,2189,2045,-6.58%
일본,Hokkaido,Rusutsu-mura,JP01060,2,3,2034,1911,-6.05%
일본,Hokkaido,Kimobetsu-cho,JP01061,0,10,2490,2156,-13.41%
일본,Hokkaido,Kyogoku-cho,JP01062,3,8,3811,2941,-22.83%
일본,Hokkaido,Kutchan-cho,JP01063,21,62,15568,15129,-2.82%
일본,Hokkaido,Kyowa-cho,JP01064,6,12,6428,5772,-10.21%
일본,Hokkaido,Iwanai-cho,JP01065,15,45,14451,11648,-19.40%
일본,Hokkaido,Tomari-mura,JP01066,3,5,1883,1569,-16.68%
일본,Hokkaido,Kamoenai-mura,JP01067,0,6,1122,870,-22.46%
일본,Hokkaido,Shakotan-cho,JP01068,1,5,2516,1831,-27.23%
일본,Hokkaido,Furubira-cho,JP01069,1,16,3611,2745,-23.98%
일본,Hokkaido,Niki-cho,JP01070,1,25,3800,3180,-16.32%
일본,Hokkaido,Yoichi-cho,JP01071,21,94,21258,18000,-15.33%
일본,Hokkaido,Akaigawa-mura,JP01072,0,3,1262,1165,-7.69%
일본,Hokkaido,Nanporo-cho,JP01073,7,25,8778,7319,-16.62%
일본,Hokkaido,Naie-cho,JP01074,17,30,6194,5120,-17.34%
일본,Hokkaido,Kamisunagawa-cho,JP01075,0,11,4086,2841,-30.47%
일본,Hokkaido,Yuni-cho,JP01076,5,20,5896,4822,-18.22%
일본,Hokkaido,Naganuma-cho,JP01077,7,42,11691,10289,-11.99%
일본,Hokkaido,Kuriyama-cho,JP01078,11,51,13340,11272,-15.50%
일본,Hokkaido,Tsukigata-cho,JP01079,3,18,4859,3691,-24.04%
일본,Hokkaido,Urausu-cho,JP01080,4,29,2206,1732,-21.49%
일본,Hokkaido,Shintotsukawa-cho,JP01081,6,21,7249,6484,-10.55%
일본,Hokkaido,Moseushi-cho,JP01082,6,9,3462,2693,-22.21%
일본,Hokkaido,Chippubetsu-cho,JP01083,1,13,2730,2329,-14.69%
일본,Hokkaido,Uryu-cho,JP01084,3,8,3049,2389,-21.65%
일본,Hokkaido,Hokuryu-cho,JP01085,0,6,2193,1724,-21.39%
일본,Hokkaido,Numata-cho,JP01086,4,7,3612,2909,-19.46%
일본,Hokkaido,Takasu-cho,JP01087,3,35,7345,6567,-10.59%
일본,Hokkaido,Higashikagura-cho,JP01088,13,26,9292,10127,8.99%
일본,Hokkaido,Tohma-cho,JP01089,9,23,7087,6319,-10.84%
일본,Hokkaido,Pippu-cho,JP01090,5,19,4042,3520,-12.91%
