CNTRY,admin1,admin2,hitech10,hitech20,pop10,pop20,rate
일본,Yamagata-ken,Mogami-machi,9,10,9847,8080,-17.94%
일본,Yamagata-ken,Funagata-machi,8,7,6164,5007,-18.77%
일본,Yamagata-ken,Mamurogawa-machi,5,6,9165,7203,-21.41%
일본,Yamagata-ken,Okura-mura,8,9,3762,3028,-19.51%
일본,Yamagata-ken,Sakegawa-mura,11,22,4862,3902,-19.74%
일본,Yamagata-ken,Tozawa-mura,8,7,5304,4199,-20.83%
일본,Yamagata-ken,Takahata-machi,39,41,25025,22463,-10.24%
일본,Yamagata-ken,Kawanishi-machi,9,11,17313,14558,-15.91%
일본,Yamagata-ken,Oguni-machi,9,10,8862,7107,-19.80%
일본,Yamagata-ken,Shirataka-machi,31,19,15314,12890,-15.83%
일본,Yamagata-ken,Iide-machi,8,8,7943,6613,-16.74%
일본,Yamagata-ken,Mikawa-machi,12,17,7731,7601,-1.68%
일본,Yamagata-ken,Shonai-machi,19,22,23158,20151,-12.98%
일본,Yamagata-ken,Yuza-machi,4,6,15480,13032,-15.81%
일본,Fukushima-ken,Fukushima-shi,605,688,292590,282693,-3.38%
일본,Fukushima-ken,Aizuwakamatsu-shi,272,289,126220,117376,-7.01%
일본,Fukushima-ken,Koriyama-shi,882,1053,338712,327692,-3.25%
일본,Fukushima-ken,Iwaki-shi,562,632,342249,332931,-2.72%
일본,Fukushima-ken,Shirakawa-shi,124,122,64704,59491,-8.06%
일본,Fukushima-ken,Sukagawa-shi,85,97,79267,74992,-5.39%
일본,Fukushima-ken,Kitakata-shi,83,65,52356,44760,-14.51%
일본,Fukushima-ken,Soma-shi,50,66,37817,34865,-7.81%
일본,Fukushima-ken,Nihonmatsu-shi,60,52,59871,53557,-10.55%
일본,Fukushima-ken,Tamura-shi,33,48,40422,35169,-13.00%
일본,Fukushima-ken,Minamisoma-shi,92,111,70878,59005,-16.75%
일본,Fukushima-ken,Date-shi,63,53,66027,58240,-11.79%
일본,Fukushima-ken,Motomiya-shi,38,43,31489,30236,-3.98%
일본,Fukushima-ken,Kori-machi,14,11,12853,11459,-10.85%
일본,Fukushima-ken,Kunimi-machi,7,8,10086,8639,-14.35%
일본,Fukushima-ken,Kawamata-machi,12,10,15569,12170,-21.83%
일본,Fukushima-ken,Otama-mura,7,21,8574,8900,3.80%
일본,Fukushima-ken,Kagamiishi-machi,15,12,12815,12318,-3.88%
일본,Fukushima-ken,Tenei-mura,1,0,6291,5194,-17.44%
일본,Fukushima-ken,Shimogo-machi,3,9,6461,5264,-18.53%
일본,Fukushima-ken,Hinoemata-mura,0,0,636,504,-20.75%
일본,Fukushima-ken,Tadami-machi,4,6,4932,4044,-18.00%
일본,Fukushima-ken,Minamiaizu-machi,32,31,17864,14451,-19.11%
일본,Fukushima-ken,Kitashiobara-mura,1,3,3185,2556,-19.75%
일본,Fukushima-ken,Nishiaizu-machi,4,5,7366,5770,-21.67%
일본,Fukushima-ken,Bandai-machi,7,6,3761,3322,-11.67%
일본,Fukushima-ken,Inawashiro-machi,18,20,15805,13552,-14.25%
일본,Fukushima-ken,Aizubange-machi,19,22,17360,15068,-13.20%
일본,Fukushima-ken,Yugawa-mura,2,1,3364,3081,-8.41%
일본,Fukushima-ken,Yanaizu-machi,3,6,4009,3081,-23.15%
일본,Fukushima-ken,Mishima-machi,0,1,1926,1452,-24.61%
일본,Fukushima-ken,Kaneyama-machi,0,1,2462,1862,-24.37%
일본,Fukushima-ken,Showa-mura,2,0,1500,1246,-16.93%
일본,Fukushima-ken,Aizumisato-machi,20,16,22737,19014,-16.37%
일본,Fukushima-ken,Nishigo-mura,50,32,19767,20808,5.27%
일본,Fukushima-ken,Izumizaki-mura,8,1,6802,6213,-8.66%
일본,Fukushima-ken,Nakajima-mura,20,20,5154,4885,-5.22%
일본,Fukushima-ken,Yabuki-machi,20,27,18407,17287,-6.08%
일본,Fukushima-ken,Tanagura-machi,26,19,15062,13343,-11.41%
